Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B212_ANNA-B1_Corner_carrier_mid\Rev B\.\Fabrication\Pick Place\B212_B.csv

========================================================================================================================
File Design Information:

Date:       02/09/21
Time:       12:42
Revision:   2764
Variant:    B212_ANNA-B1_Corner_carrier_mid
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D3","115-00011","TopLayer","4-PLCC","14.6000","18.9000","270","LED, RGB Diffused SMT, PLCC4 4 Pin"
"P1","61300811021","TopLayer","61300811021","20.0000","4.1700","0","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"X1","100-00005","TopLayer","XTAL_3215","4.6650","8.6250","0","XTAL, 2Pin, 32.768kHz, 7pF 20ppm"
"U1","ANNA-B112-OPENCPU","TopLayer","ANNA_LGA52S_650X650","4.3150","14.7520","0","u-blox ANNA-B112 Bluetooth 5 LE module"
"SW2","135-00007","TopLayer","B3U-1000P","23.5250","9.6000","0","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","18.9750","14.1000","0","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R3","180-00098220R","TopLayer","RES_0402_HD","12.6000","19.2000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R2","180-00098220R","TopLayer","RES_0402_HD","16.6000","18.9000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R1","180-00031499R","TopLayer","RES_0402_HD","17.6000","18.9000","270","Resistor, 499ohm, 1%, 1/16W, 0402"
"D2","110-00019","TopLayer","SOD-923","20.3000","10.0250","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D1","110-00019","TopLayer","SOD-923","15.5750","14.5250","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"C3","UBXH01-2021002100N","TopLayer","Cap_0402_HD","1.0750","10.5000","0","CAP CER X5R 0402"
"C2","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","7.3650","8.1750","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
"C1","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","1.9650","8.1750","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
