Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B213_ANNA-B1_Corner_carrier_small\Rev B\.\Fabrication\Pick Place\B213_B.csv

========================================================================================================================
File Design Information:

Date:       02/09/21
Time:       12:48
Revision:   2764
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D3","115-00011","TopLayer","4-PLCC","10.7950","15.1130","180","LED, RGB Diffused SMT, PLCC4 4 Pin"
"R15","180-00098220R","TopLayer","RES_0402_HD","20.0000","19.1000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R14","180-00098220R","TopLayer","RES_0402_HD","4.4000","19.1000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R12","180-00098220R","TopLayer","RES_0402_HD","19.0000","19.1000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R11","180-00098220R","TopLayer","RES_0402_HD","2.4000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R10","180-00098220R","TopLayer","RES_0402_HD","3.4000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R9","180-00098220R","TopLayer","RES_0402_HD","10.1000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R8","180-00098220R","TopLayer","RES_0402_HD","13.1000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R7","180-00098220R","TopLayer","RES_0402_HD","11.1000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R6","180-00098220R","TopLayer","RES_0402_HD","12.1000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R5","180-00098220R","TopLayer","RES_0402_HD","14.1000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R4","","TopLayer","RES_0402_HD","9.1000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"L2","LQW18AN56NJ00D","TopLayer","INDC1608X100X30LL20T10","6.7000","18.8000","90","Chip Inductor, 56 nH, +/-5%, 390 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"L1","LQW18AN56NJ00D","TopLayer","INDC1608X100X30LL20T10","1.0000","18.8000","270","Chip Inductor, 56 nH, +/-5%, 390 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"P2","TC2030-IDC-NLDNP","TopLayer","TC2030-IDC-NL","11.0000","10.0000","0","CON PADS FOR CBL PLUG-OF-NAILS 6-PIN NO LEGS"
"P1","61300811021","TopLayer","61300811021","11.0000","4.2200","0","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"MH2","MH_M1.5DNP","TopLayer","MH_M1.5","18.5000","10.0000","0","1.5M screw mounting hole, plated"
"MH1","MH_M1.5DNP","TopLayer","MH_M1.5","3.5000","10.0000","0","1.5M screw mounting hole, plated"
"X1","100-00005","TopLayer","XTAL_3215","4.7400","26.5750","0","XTAL, 2Pin, 32.768kHz, 7pF 20ppm"
"U1","ANNA-B112-OPENCPU","TopLayer","ANNA_LGA52S_650X650","4.3900","32.7020","0","u-blox ANNA-B112 Bluetooth 5 LE module"
"SW2","135-00007","TopLayer","B3U-1000P","18.5000","15.0000","0","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","3.5000","15.0000","0","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R17","180-00098220R","TopLayer","RES_0402_HD","17.2000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R13","180-00098220R","TopLayer","RES_0402_HD","16.2000","19.1000","270","Resistor, 220ohm, 5%, 1/16W, 0402."
"R16","180-00031499R","TopLayer","RES_0402_HD","15.2000","19.1000","270","Resistor, 499ohm, 1%, 1/16W, 0402"
"D2","110-00019","TopLayer","SOD-923","17.2000","17.0000","0","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D1","110-00019","TopLayer","SOD-923","2.2000","17.0000","0","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"C2","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","7.4400","26.1250","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
"C1","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","2.0400","26.1250","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
