Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B214_ANNA-B1_Edge_carrier_mid\Rev B\.\Fabrication\Pick Place\B214_B.csv

========================================================================================================================
File Design Information:

Date:       02/09/21
Time:       13:00
Revision:   2764
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D3","115-00011","TopLayer","4-PLCC","24.0000","8.8000","0","LED, RGB Diffused SMT, PLCC4 4 Pin"
"P2","TC2030-IDC-NLDNP","TopLayer","TC2030-IDC-NL","36.8650","11.9950","270","CON PADS FOR CBL PLUG-OF-NAILS 6-PIN NO LEGS"
"P1","61300811021","TopLayer","61300811021","20.0000","4.1700","0","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"MH2","MH_M1.5DNP","TopLayer","MH_M1.5","37.5000","2.5000","0","1.5M screw mounting hole, plated"
"MH1","MH_M1.5DNP","TopLayer","MH_M1.5","2.5000","2.5000","0","1.5M screw mounting hole, plated"
"X1","100-00005","TopLayer","XTAL_3215","14.1250","15.9850","270","XTAL, 2Pin, 32.768kHz, 7pF 20ppm"
"U1","ANNA-B112-OPENCPU","TopLayer","ANNA_LGA52S_650X650","20.0000","16.3500","270","u-blox ANNA-B112 Bluetooth 5 LE module"
"SW2","135-00007","TopLayer","B3U-1000P","5.0750","17.8000","180","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","5.0250","11.4000","180","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R3","180-00098220R","TopLayer","RES_0402_HD","21.4000","8.2000","0","Resistor, 220ohm, 5%, 1/16W, 0402."
"R2","180-00098220R","TopLayer","RES_0402_HD","21.4000","9.4000","0","Resistor, 220ohm, 5%, 1/16W, 0402."
"R1","180-00031499R","TopLayer","RES_0402_HD","26.3000","9.7000","270","Resistor, 499ohm, 1%, 1/16W, 0402"
"D2","110-00019","TopLayer","SOD-923","8.3000","17.3750","270","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D1","110-00019","TopLayer","SOD-923","8.4250","10.9750","270","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"C3","UBXH01-00002434U7","TopLayer","Cap_0402_HD","15.9000","19.6000","90","CAP CER X5R 0402"
"C2","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","13.6750","13.2850","180","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
"C1","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","13.6750","18.6850","180","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
