Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B216_BMD-30-33-36_carrier_mid\Rev A\.\Fabrication\Pick Place\B216_A.csv

========================================================================================================================
File Design Information:

Date:       02/09/21
Time:       17:29
Revision:   1820
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C5","UBXH01-2021002100N","TopLayer","Cap_0402","16.2500","7.1000","180","CAP CER X5R 0402"
"D1","115-00011","TopLayer","4-PLCC","29.7500","14.2500","0","LED, RGB Diffused SMT, PLCC4 4 Pin"
"MH1","MH_M1.5DNP","TopLayer","MH_M1.5","2.5000","2.5000","0","1.5M screw mounting hole, plated"
"P2","61300811021","TopLayer","61300811021","20.0000","4.1700","360","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"C2","UBXH01-000801512P","TopLayer","Cap_0402","13.0500","13.9500","180","CAP CER COG 0402"
"C1","UBXH01-000801512P","TopLayer","Cap_0402","13.0500","15.0000","180","CAP CER COG 0402"
"MH2","MH_M1.5DNP","TopLayer","MH_M1.5","37.5000","2.5000","0","1.5M screw mounting hole, plated"
"P1","TC2030-IDC-NLDNP","TopLayer","TC2030-IDC-NL","37.4900","8.9950","270","CON PADS FOR CBL PLUG-OF-NAILS 6-PIN NO LEGS"
"X1","100-00005","TopLayer","XTAL_3215","13.5000","9.9750","270","XTAL, 2Pin, 32.768kHz, 7pF 20ppm"
"U1","=Value","TopLayer","BMD_LGA47S_1400X980X190_PCB","20.0000","12.8500","360","u-blox BMD-300 Bluetooth 5 LE module"
"SW2","135-00007","TopLayer","B3U-1000P","32.0000","9.5500","360","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","8.0000","9.5500","180","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R3","180-00098220R","TopLayer","RES_0402_HD","27.4500","14.8000","360","Resistor, 220ohm, 5%, 1/16W, 0402."
"R2","180-00098220R","TopLayer","RES_0402_HD","27.4500","13.7000","360","Resistor, 220ohm, 5%, 1/16W, 0402."
"R1","180-00031499R","TopLayer","RES_0402_HD","32.0500","14.8000","180","Resistor, 499ohm, 1%, 1/16W, 0402"
"D3","110-00019","TopLayer","SOD-923","28.7250","9.9700","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D2","110-00019","TopLayer","SOD-923","11.0500","9.9750","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"C4","UBXH01-000411410P","TopLayer","Cap_0402","13.0500","7.3500","180","CAP CER COG 0402"
"C3","UBXH01-000411410P","TopLayer","Cap_0402","13.0500","12.5750","180","CAP CER COG 0402"
