Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B224_NINA-B112_carrier_mid\Rev B\.\Fabrication\Pick Place\B224_B.csv

========================================================================================================================
File Design Information:

Date:       02/09/21
Time:       13:59
Revision:   2763
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D3","115-00011","TopLayer","4-PLCC","20.9000","12.7000","0","LED, RGB Diffused SMT, PLCC4 4 Pin"
"P2","TC2030-IDC-NLDNP","TopLayer","TC2030-IDC-NL","37.5000","8.9600","270","CON PADS FOR CBL PLUG-OF-NAILS 6-PIN NO LEGS"
"P1","61300811021","TopLayer","61300811021","20.0000","4.1700","0","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"MH2","MH_M1.5DNP","TopLayer","MH_M1.5","37.5000","2.5000","0","1.5M screw mounting hole, plated"
"MH1","MH_M1.5DNP","TopLayer","MH_M1.5","2.5000","2.5000","0","1.5M screw mounting hole, plated"
"U1","NINA-B112-OPENCPU","TopLayer","NINA_LGA42R_1400X1000X380_PIFA","5.1000","13.2000","90","u-blox NINA-B112 Bluetooth 5 LE module"
"SW2","135-00007","TopLayer","B3U-1000P","28.9000","16.1000","90","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","28.9000","9.7000","270","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R3","180-00098220R","TopLayer","RES_0402_HD","18.4000","12.2000","0","Resistor, 220ohm, 5%, 1/16W, 0402."
"R2","180-00098220R","TopLayer","RES_0402_HD","18.4000","13.5000","0","Resistor, 220ohm, 5%, 1/16W, 0402."
"R1","180-00031499R","TopLayer","RES_0402_HD","23.6000","13.1000","90","Resistor, 499ohm, 1%, 1/16W, 0402"
"D2","110-00019","TopLayer","SOD-923","26.6000","14.8000","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D1","110-00019","TopLayer","SOD-923","26.6000","11.0000","270","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"C2","Capacitor 0.1 uF +/- 5% 16 V 0402","TopLayer","CAPC1005X56X25ML10T15","11.7000","16.6000","0","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"
"C1","Capacitor 0.1 uF +/- 5% 16 V 0402","TopLayer","CAPC1005X56X25ML10T15","11.7000","17.8000","180","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"
