Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B226_NINA-B302_carrier_mid\Rev B\.\Fabrication\Pick Place\B226_B.csv

========================================================================================================================
File Design Information:

Date:       02/09/21
Time:       14:32
Revision:   2763
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D3","115-00011","TopLayer","4-PLCC","21.8948","12.7762","0","LED, RGB Diffused SMT, PLCC4 4 Pin"
"U1","NINA-B302","TopLayer","NINA_LGA67R_1500X1000X338_PIFA","5.7000","12.6000","90","Stand-alone Bluetooth low energy module"
"P2","TC2030-IDC-NLDNP","TopLayer","TC2030-IDC-NL","37.5000","8.9600","270","CON PADS FOR CBL PLUG-OF-NAILS 6-PIN NO LEGS"
"P1","61300811021","TopLayer","61300811021","20.0000","4.1700","0","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"MH2","MH_M1.5DNP","TopLayer","MH_M1.5","37.5000","2.5000","0","1.5M screw mounting hole, plated"
"MH1","MH_M1.5DNP","TopLayer","MH_M1.5","2.5000","2.5000","0","1.5M screw mounting hole, plated"
"SW2","135-00007","TopLayer","B3U-1000P","28.9000","16.1000","90","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","28.9000","9.7000","270","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R3","180-00098220R","TopLayer","RES_0402_HD","19.4056","12.2174","0","Resistor, 220ohm, 5%, 1/16W, 0402."
"R2","180-00098220R","TopLayer","RES_0402_HD","19.4000","13.3000","0","Resistor, 220ohm, 5%, 1/16W, 0402."
"R1","180-00031499R","TopLayer","RES_0402_HD","23.9776","13.8176","270","Resistor, 499ohm, 1%, 1/16W, 0402"
"D2","110-00019","TopLayer","SOD-923","26.8000","14.8000","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D1","110-00019","TopLayer","SOD-923","26.8000","11.0000","270","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"C2","Capacitor 0.1 uF +/- 5% 16 V 0402","TopLayer","CAPC1005X56X25ML10T15","12.4000","16.5000","0","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"
"C1","Capacitor 0.1 uF +/- 5% 16 V 0402","TopLayer","CAPC1005X56X25ML10T15","12.3900","17.7000","180","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)"
