Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B233_NORA-B106_carrier_small\Rev A\.\Fabrication\Pick Place\B233_A.csv

========================================================================================================================
File Design Information:

Date:       03/09/21
Time:       10:04
Revision:   1736
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D3","115-00011","TopLayer","4-PLCC","11.0000","14.4500","180","LED, RGB Diffused SMT, PLCC4 4 Pin"
"MH1","MH_M2DNP","TopLayer","MH_M2","3.5000","10.0000","0","2M screw mounting hole, plated"
"U1","NORA-B106","TopLayer","NORA_LGA82R_1430X1040X180_ANT","11.0000","32.6500","90","u-blox NORA-B106 Bluetooth 5.2 LE module - dual core"
"C1","UBXH01-2021002100N","TopLayer","Cap_0402","9.2500","24.4750","0","CAP CER X5R 0402"
"L2","LQW18AN22NJ10D","TopLayer","INDC1608X100X30LL20T10","15.2500","19.9750","270","Chip Inductor, 22 nH, +/-5%, 640 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"L1","LQW18AN22NJ10D","TopLayer","INDC1608X100X30LL20T10","6.7500","19.9750","270","Chip Inductor, 22 nH, +/-5%, 640 mA, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R5","180-00098220R","TopLayer","RES_0402_HD","18.3000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R4","180-00098220R","TopLayer","RES_0402_HD","19.9000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R3","180-00098220R","TopLayer","RES_0402_HD","20.7000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"P1","TC2030-IDC-NLDNP","TopLayer","TC2030-IDC-NL","11.0000","10.0100","360","CON PADS FOR CBL PLUG-OF-NAILS 6-PIN NO LEGS"
"P2","61300811021","TopLayer","61300811021","11.0000","4.2200","360","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"R9","180-00098220R","TopLayer","RES_0402_HD","5.3000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R8","180-00098220R","TopLayer","RES_0402_HD","12.2000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R7","180-00098220R","TopLayer","RES_0402_HD","10.6000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R6","180-00098220R","TopLayer","RES_0402_HD","11.4000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R2","180-00098220R","TopLayer","RES_0402_HD","13.0000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R1","180-00098220R","TopLayer","RES_0402_HD","16.7000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"X1","100-00005","TopLayer","XTAL_3215","4.5500","28.3750","270","XTAL, 2Pin, 32.768kHz, 7pF 20ppm"
"RTS_NET1","TP","TopLayer","TP10R","16.7000","18.2500","90","Testpoint, Round 1.0mm Dia"
"CTS_NET1","TP","TopLayer","TP10R","13.0000","18.2500","90","Testpoint, Round 1.0mm Dia"
"R13","180-00098220R","TopLayer","RES_0402_HD","17.5000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R12","180-00098220R","TopLayer","RES_0402_HD","13.8000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R11","180-00098220R","TopLayer","RES_0402_HD","19.1000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R10","180-00098220R","TopLayer","RES_0402_HD","4.5000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"MH2","MH_M2DNP","TopLayer","MH_M2","18.5000","10.0000","0","2M screw mounting hole, plated"
"SW2","135-00007","TopLayer","B3U-1000P","18.5000","15.0000","180","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","3.5000","15.0000","360","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R16","180-00098220R","TopLayer","RES_0402_HD","9.8000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R15","180-00098220R","TopLayer","RES_0402_HD","9.0000","20.0000","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R14","180-00031499R","TopLayer","RES_0402_HD","8.2000","20.0000","90","Resistor, 499ohm, 1%, 1/16W, 0402"
"D2","110-00019","TopLayer","SOD-923","18.5000","17.0000","180","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D1","110-00019","TopLayer","SOD-923","3.5000","17.0000","360","Diode, ESD9B, 3.3V, ST5G, SOD-923"
