Altium Designer Pick and Place Locations
C:\Users\brec\svn\ae-sho-team-global\_cross\app_notes_working_folder\AE_SHO-866_Antenna_app_note\Designs\B212_ANNA-B1_Corner_carrier_mid\Rev A\.\Fabrication\B212_A.csv

========================================================================================================================
File Design Information:

Date:       25/10/20
Time:       14:59
Revision:   1733
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D3","115-00011","TopLayer","4-PLCC","574.803","744.095","270","LED, RGB Diffused SMT, PLCC4 4 Pin"
"P2","TC2030-IDC-NLDNP","TopLayer","TC2030-IDC-NL","1451.378","472.244","270","CON PADS FOR CBL PLUG-OF-NAILS 6-PIN NO LEGS"
"P1","61300811021","TopLayer","61300811021","787.402","164.173","360","THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 8 pins"
"MH2","MH_M1.5DNP","TopLayer","MH_M1.5","1476.378","98.425","0","1.5M screw mounting hole, plated"
"MH1","MH_M1.5DNP","TopLayer","MH_M1.5","98.425","98.425","0","1.5M screw mounting hole, plated"
"X1","100-00005","TopLayer","XTAL_3215","183.661","339.567","360","XTAL, 2Pin, 32.768kHz, 7pF 20ppm"
"U1","ANNA-B112-OPENCPU","TopLayer","ANNA_LGA52S_650X650","169.882","580.787","360","u-blox ANNA-B112 Bluetooth 5 LE module"
"SW2","135-00007","TopLayer","B3U-1000P","926.181","377.953","360","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"SW1","135-00007","TopLayer","B3U-1000P","747.047","555.118","360","Button, Momentary SPST-NO, 0.05A, 12V, 3mm x 2.5mm"
"R3","180-00098220R","TopLayer","RES_0402_HD","496.063","755.905","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R2","180-00098220R","TopLayer","RES_0402_HD","653.543","744.095","90","Resistor, 220ohm, 5%, 1/16W, 0402."
"R1","180-00031499R","TopLayer","RES_0402_HD","692.913","744.095","270","Resistor, 499ohm, 1%, 1/16W, 0402"
"D2","110-00019","TopLayer","SOD-923","799.213","394.685","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"D1","110-00019","TopLayer","SOD-923","613.190","571.850","90","Diode, ESD9B, 3.3V, ST5G, SOD-923"
"C3","UBXH01-00002434U7","TopLayer","Cap_0402_HD","42.323","422.244","180","CAP CER X5R 0402"
"C2","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","289.961","321.850","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
"C1","Capacitor 10 pF +/- 5% 50 V 0402","TopLayer","CAPC1005X55X25ML05T05","77.362","321.850","270","Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)"
